d_loss_short,d_loss_long,g_loss,g_loss_mid,train_pi_loss,epoch,g_loss_long,d_r1_long,d_r1_mid,d_r1_short,g_loss_short,step,d_loss,train_variety_loss,d_loss_mid,val_minADE,val_minFDE
nan,nan,nan,nan,nan,20,nan,nan,nan,nan,nan,6899,nan,nan,nan,,
nan,nan,nan,nan,1.7382307052612305,20,nan,nan,nan,nan,nan,6949,nan,0.5129741430282593,nan,,
,,,,,20,,,,,,6950,,,,0.6134994029998779,1.0545610189437866
nan,nan,nan,nan,nan,21,nan,nan,nan,nan,nan,6999,nan,nan,nan,,
nan,nan,nan,nan,nan,21,nan,nan,nan,nan,nan,7049,nan,nan,nan,,
nan,nan,nan,nan,nan,21,nan,nan,nan,nan,nan,7099,nan,nan,nan,,
nan,nan,nan,nan,nan,21,nan,nan,nan,nan,nan,7149,nan,nan,nan,,
nan,nan,nan,nan,nan,21,nan,nan,nan,nan,nan,7199,nan,nan,nan,,
nan,nan,nan,nan,nan,21,nan,nan,nan,nan,nan,7249,nan,nan,nan,,
,,,,,21,,,,,,7281,,,,0.6134993433952332,1.0545604228973389
nan,nan,nan,nan,nan,22,nan,nan,nan,nan,nan,7299,nan,nan,nan,,
nan,nan,nan,nan,nan,22,nan,nan,nan,nan,nan,7349,nan,nan,nan,,
nan,nan,nan,nan,nan,22,nan,nan,nan,nan,nan,7399,nan,nan,nan,,
nan,nan,nan,nan,nan,22,nan,nan,nan,nan,nan,7449,nan,nan,nan,,
nan,nan,nan,nan,nan,22,nan,nan,nan,nan,nan,7499,nan,nan,nan,,
nan,nan,nan,nan,nan,22,nan,nan,nan,nan,nan,7549,nan,nan,nan,,
nan,nan,nan,nan,1.7332050800323486,22,nan,nan,nan,nan,nan,7599,nan,0.5016724467277527,nan,,
,,,,,22,,,,,,7612,,,,0.6134966611862183,1.054543375968933
nan,nan,nan,nan,nan,23,nan,nan,nan,nan,nan,7649,nan,nan,nan,,
nan,nan,nan,nan,nan,23,nan,nan,nan,nan,nan,7699,nan,nan,nan,,
nan,nan,nan,nan,nan,23,nan,nan,nan,nan,nan,7749,nan,nan,nan,,
nan,nan,nan,nan,nan,23,nan,nan,nan,nan,nan,7799,nan,nan,nan,,
nan,nan,nan,nan,nan,23,nan,nan,nan,nan,nan,7849,nan,nan,nan,,
nan,nan,nan,nan,1.7258613109588623,23,nan,nan,nan,nan,nan,7899,nan,0.476256400346756,nan,,
,,,,,23,,,,,,7943,,,,0.6134960651397705,1.0545477867126465
nan,nan,nan,nan,nan,24,nan,nan,nan,nan,nan,7949,nan,nan,nan,,
