epoch,val_f1_Stationary,val_f1_Right Turn,val_f1_Straight,val_f1_LC Right,val_f1_LC Left,val_loss,val_f1_U-Turn,val_f1_Left Turn,step,train_loss,train_acc
23,0.8963414430618286,0.790123462677002,0.7219209671020508,0.2133333384990692,0.16129031777381897,0.4851454496383667,0.0,0.6461538672447205,7631,,
23,,,,,,,,,7631,0.4251670837402344,0.6957718729972839
24,0.9057750701904297,0.8125,0.7619760632514954,0.2698412835597992,0.196891188621521,0.48263534903526306,0.0,0.7256637215614319,7949,,
24,,,,,,,,,7949,0.39975860714912415,0.6940019726753235
25,0.9051987528800964,0.7457627058029175,0.7636909484863281,0.2777777910232544,0.17977528274059296,0.4969675838947296,0.0,0.6363636255264282,8267,,
25,,,,,,,,,8267,0.4044826328754425,0.697246789932251
26,0.9006211161613464,0.75,0.7599698901176453,0.2678571343421936,0.20430107414722443,0.4935362637042999,0.0,0.7118644118309021,8585,,
26,,,,,,,,,8585,0.3987503945827484,0.6955752372741699
27,0.9024389982223511,0.7857142686843872,0.7486712336540222,0.2539682686328888,0.19191919267177582,0.4930216372013092,0.0,0.7179487347602844,8903,,
27,,,,,,,,,8903,0.37233564257621765,0.7072762846946716
28,0.89570552110672,0.7674418687820435,0.7617624998092651,0.25,0.18784530460834503,0.5012655854225159,0.0,0.730434775352478,9221,,
28,,,,,,,,,9221,0.37971559166908264,0.7058013677597046
